name,value,type,parent,isOfficial
SH_STA_STNT,Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years,Series,2.2.1,TRUE
SH_STA_STNT_LB,Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (lower bound),Series,2.2.1,TRUE
SH_STA_STNT_UB,Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (upper bound),Series,2.2.1,TRUE
SH_STA_STNTN,Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years,Series,2.2.1,FALSE
SH_STA_STNTN_LB,Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (lower bound),Series,2.2.1,FALSE
SH_STA_STNTN_UB,Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years (upper bound),Series,2.2.1,FALSE
SH_STA_WAST,Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years,Series,2.2.2,TRUE
SH_STA_WAST_LB,Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years (lower bound),Series,2.2.2,TRUE
SH_STA_WAST_UB,Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years (upper bound),Series,2.2.2,TRUE
SH_STA_WASTN,Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years,Series,2.2.2,FALSE
SN_STA_OVWGT,Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years,Series,2.2.2,TRUE
SN_STA_OVWGT_LB,Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years (lower bound),Series,2.2.2,TRUE
SN_STA_OVWGT_UB,Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years (upper bound),Series,2.2.2,TRUE
SN_STA_OVWGTN,Number of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years,Series,2.2.2,FALSE
ER_RSK_LBRED,Proportion of local breeds classified as being not-at-risk of extinction,Series,2.5.2,TRUE
ER_NRK_LBRED,Proportion of local breeds classified as being at risk of extinction,Series,2.5.2,TRUE
ER_UNK_LBRED,Proportion of local breeds classified as being at unknown level of risk of extinction,Series,2.5.2,TRUE
ER_RSK_LBREDN,Number of local breeds classified as being not-at-risk of extinction,Series,2.5.2,FALSE
ER_NRK_LBREDN,Number of local breeds classified as being at risk of extinction,Series,2.5.2,FALSE
ER_UNK_LBREDN,Number of local breeds classified as being at unknown level of risk of extinction,Series,2.5.2,FALSE
AG_PRD_ORTIND,The agriculture orientation index for government expenditures,Series,2.a.1,TRUE
DC_TOF_AGRL,"Total official flows disbursements for agriculture, by recipient",Series,2.a.2,TRUE
DC_TOF_AGRP,"Total official flows disbursements for agriculture, by recipient, as a percentage of donors' sector-allocable total official flows",Series,2.a.2,FALSE
AG_PRD_PSEST,Producer Support Estimate,Series,2.b.1,TRUE
AG_PRD_XSUBDY,Agricultural export subsidies,Series,2.b.2,TRUE
SH_STA_MORT,Maternal mortality ratio,Series,3.1.1,TRUE
SH_STA_BRTC,Proportion of births attended by skilled health personnel,Series,3.1.2,TRUE
SH_DYN_MORT,Under-five mortality rate,Series,3.2.1,TRUE
SH_DYN_MORTN,Number of under-five deaths,Series,3.2.1,FALSE
SH_DYN_IMRT,Infant mortality rate,Series,3.2.1,FALSE
SH_DYN_IMRTN,Number of infant deaths,Series,3.2.1,FALSE
SH_DYN_NMRT,Neonatal mortality rate,Series,3.2.2,TRUE
SH_DYN_NMRTN,Number of neonatal deaths,Series,3.2.2,FALSE
SH_HIV_INCD,Estimated HIV incidence rate,Series,3.3.1,TRUE
SH_TBS_INCD,"Tuberculosis incidence per 100,000 population",Series,3.3.2,TRUE
SH_TBS_INCD_LB,"Tuberculosis incidence per 100,000 population (lower bound)",Series,3.3.2,TRUE
SH_TBS_INCD_UB,"Tuberculosis incidence per 100,000 population (upper bound)",Series,3.3.2,TRUE
SH_TBS_MORT,"Tuberculosis deaths per 100,000 population",Series,3.3.2,FALSE
SH_TBS_MORT_LB,"Tuberculosis deaths per 100,000 population (lower bound)",Series,3.3.2,FALSE
SH_TBS_MORT_UB,"Tuberculosis deaths per 100,000 population (upper bound)",Series,3.3.2,FALSE
SH_STA_MALR,"Malaria incidence per 1,000 population",Series,3.3.3,TRUE
SH_TRP_INTVN,Number of people requiring interventions against neglected tropical diseases,Series,3.3.5,TRUE
SH_DTH_NCOM,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Series,3.4.1,TRUE
SH_DTH_CARDIO,Number of deaths attributed to cardiovascular disease,Series,3.4.1,FALSE
SH_DTH_CANCER,Number of deaths attributed to cancer,Series,3.4.1,FALSE
SH_DTH_DIABTS,Number of deaths attributed to diabetes,Series,3.4.1,FALSE
SH_DTH_CRESPD,Number of deaths attributed to chronic respiratory disease,Series,3.4.1,FALSE
SH_STA_SCIDE,Suicide mortality rate,Series,3.4.2,TRUE
SH_STA_SCIDEN,Number of deaths attributed to suicide,Series,3.4.2,FALSE
SH_ALC_CONSPT,Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,Series,3.5.2,TRUE
SH_STA_TRAF,Death rate due to road traffic injuries,Series,3.6.1,TRUE
SH_FPL_MTMM,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Series,3.7.1,FALSE
SP_DYN_ADKL,"Adolescent birth rate per 1,000 adolescent women aged 15-19",Series,3.7.2,TRUE
SH_STA_AIRP,Mortality rate attributed to household and ambient air pollution,Series,3.9.1,TRUE
SH_STA_WASH,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Series,3.9.2,TRUE
SH_STA_POISN,Mortality rate attributed to unintentional poisonings,Series,3.9.3,TRUE
DC_TOF_HLTHL,"Total official flows for medical research and basic heath sectors, by recipient",Series,3.b.2,TRUE
DC_TOF_HLTHP,"Total official flows for medical research and basic heath sectors, by recipient, as a percentage of donors' sector-allocable total official flows",Series,3.b.2,FALSE
SH_MED_HWKR,Health worker density and distribution,Series,3.c.1,FALSE
SH_IHR_CAPPRD,International Health Regulations (IHR) core capacity index,Series,3.d.1,TRUE
SE_PRM_RDNG,Proportion of children at the end of primary achieving at least a minimum proficiency level in reading,Series,4.1.1,TRUE
SE_PRM_MATH,Proportion of children at the end of primary achieving at least a minimum proficiency level in mathematics,Series,4.1.1,TRUE
SE_LSC_RDNG,Proportion of children at‘_the end of lower secondary achieving at least a minimum proficiency level in reading,Series,4.1.1,TRUE
SE_LSC_MATH,Proportion of children at‘_the end of lower secondary achieving at least a minimum proficiency level in mathematics,Series,4.1.1,TRUE
SE_G23_RDG,Proportion of children in‘_grades 2/3 achieving at least a minimum proficiency level in reading,Series,4.1.1,TRUE
SE_G23_MATH,Proportion of children‘_in‘_grades 2/3 achieving at least a minimum proficiency level in mathematics,Series,4.1.1,TRUE
SE_DEV_ONTRK,"Percentage of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning",Series,4.2.1,FALSE
SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age),Series,4.2.2,TRUE
SE_ADT_EDUCTRN,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Series,4.3.1,TRUE
SE_ADT_ICTCPY,"Proportion of youth and adults with information and communications technology (ICT) skill, copying or moving a file or folder",Series,4.4.1,FALSE
SE_ADT_ICTINSTL,"Proportion of youth and adults with information and communications technology (ICT) skill, using basic arithmetic formula in a spreadsheet",Series,4.4.1,FALSE
SE_ADT_ICTCTDV,"Proportion of youth and adults with information and communications technology (ICT) skill, connecting and installing new devices",Series,4.4.1,FALSE
SE_PRE_GPITCH,Gender parity index of teachers in pre-primary education who are trained,Series,4.5.1,TRUE
SE_PRM_GPITCH,Gender parity index of teachers in primary education who are trained,Series,4.5.1,TRUE
SE_LSC_GPITCH,Gender parity index of teachers in lower secondary education who are trained,Series,4.5.1,TRUE
SE_USC_GPITCH,Gender parity index of teachers in upper secondary education who are trained,Series,4.5.1,TRUE
SE_SEC_GPITCH,Gender parity index of teachers in secondary education who are trained,Series,4.5.1,TRUE
SE_PRM_GPIRDNG,Gender parity index for achievement in reading by the end of primary,Series,4.5.1,TRUE
SE_PRM_GPIMATH,Gender parity index for achievement in mathematics by the end of primary,Series,4.5.1,TRUE
SE_LSC_GPIRDNG,Gender parity index for achievement in reading by the end of lower secondary,Series,4.5.1,TRUE
SE_LSC_GPIMATH,Gender parity index for achievement in mathematics by the end of lower secondary,Series,4.5.1,TRUE
SE_G23_GPIRDG,Gender parity index for achievement in reading in grades 2/3,Series,4.5.1,TRUE
SE_G23_GPIMATH,Gender parity index for achievement in mathematics in grades 2/3,Series,4.5.1,TRUE
SE_PRE_GPIPARTN,Gender parity index for participation rate in organized learning (one year before the official primary entry age),Series,4.5.1,TRUE
SE_ADT_NMRCY,Percentage of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills,Series,4.6.1,TRUE
SE_ADT_LTRCY,Percentage of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills,Series,4.6.1,TRUE
SE_SCH_H2O,Proportion of schools with access to basic drinking water,Series,4.a.1,TRUE
SE_PRM_H2O,"Proportion of schools with access to basic drinking water, primary level",Series,4.a.1,TRUE
SE_LSC_H2O,"Proportion of schools with access to basic drinking water, lower secondary level",Series,4.a.1,TRUE
SE_SCH_ELECT,Proportion of schools with access to electricity,Series,4.a.1,TRUE
SE_PRM_ELECT,"Proportion of schools with access to electricity, primary level",Series,4.a.1,TRUE
SE_PLS_ELECT,"Proportion of schools with access to electricity, primary and lower secondary level",Series,4.a.1,TRUE
SE_PRS_ELECT,"Proportion of schools with access to electricity, primary and secondary level",Series,4.a.1,TRUE
SE_LSC_ELECT,"Proportion of schools with access to electricity, lower secondary level",Series,4.a.1,TRUE
SE_USC_ELECT,"Proportion of schools with access to electricity, upper secondary level",Series,4.a.1,TRUE
SE_SEC_ELECT,"Proportion of schools with access to electricity, secondary combined level",Series,4.a.1,TRUE
SE_PRM_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, primary level",Series,4.a.1,TRUE
SE_PRS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, primary and secondary level",Series,4.a.1,TRUE
SE_LSC_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, lower secondary level",Series,4.a.1,TRUE
SE_USC_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, upper secondary level",Series,4.a.1,TRUE
SE_SEC_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, secondary combined level",Series,4.a.1,TRUE
SE_PRM_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, primary level",Series,4.a.1,TRUE
SE_PRS_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, primary and secondary level",Series,4.a.1,TRUE
SE_LSC_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, lower secondary level",Series,4.a.1,TRUE
SE_USC_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, upper secondary level",Series,4.a.1,TRUE
SE_SEC_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, secondary combined level",Series,4.a.1,TRUE
SE_LSC_SANIT,"Proportion of schools with access to single-sex basic sanitation, primary level",Series,4.a.1,TRUE
SE_SCH_SANIT,"Proportion of schools with access to single-sex basic sanitation, lower secondary level",Series,4.a.1,TRUE
DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient",Series,4.b.1,TRUE
DC_TOF_SCHIPSP,"Total official flows for scholarships, by recipient, as a percentage of donors' sector-allocable total official flows",Series,4.b.1,FALSE
SE_PRE_TRTCHRTCH,Proportion of teachers in pre-primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,Series,4.c.1,TRUE
SE_PRM_TRTCHRTCH,Proportion of teachers in primary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,Series,4.c.1,TRUE
SE_LSC_TRTCHRTCH,Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,Series,4.c.1,TRUE
SE_USC_TRTCHRTCH,Proportion of teachers in upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,Series,4.c.1,TRUE
SE_SEC_TRTCHRTCH,Proportion of teachers in secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,Series,4.c.1,TRUE
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married by age 15,Series,5.3.1,TRUE
SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married by age 18,Series,5.3.1,TRUE
SH_STA_FGMS,Proportion of girls aged 15-19 who have undergone FGM/C,Series,5.3.2,FALSE
SL_DOM_TSPD,Time spent on unpaid domestic and care work,Series,5.4.1,TRUE
SG_GEN_PARL,Proportion of seats held by women in national parliaments,Series,5.5.1,TRUE
IC_GEN_MGTN,Proportion of women in managerial positions,Series,5.5.2,TRUE
SH_H2O_IMPR,Proportion of population using improved drinking water sources,Series,6.1.1,FALSE
SH_SAN_IMPR,Proportion of population using improved sanitation facilities,Series,6.2.1,FALSE
ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Series,6.4.2,TRUE
ER_H2O_INTG,Proportion of countries that have fully implemented national integrated water resources management plans or equivalent,Series,6.5.1,FALSE
ER_H2O_INTGAD,Proportion of countries that are at advanced stage of implementation of national integrated water resources management plans or equivalent,Series,6.5.1,FALSE
ER_H2O_INTGSD,Proportion of countries that have started implementing national integrated water resources management plans or equivalent,Series,6.5.1,FALSE
ER_H2O_INTGDV,Proportion of countries that have developed but are not yet implementing national integrated water resources management plans or equivalent,Series,6.5.1,FALSE
ER_H2O_INTGUD,Proportion of countries where national integrated water resources management plans or equivalent are under development,Series,6.5.1,FALSE
ER_H2O_INTGNA,Proportion of countries where national integrated water resources management plans or equivalent are not relevant,Series,6.5.1,FALSE
DC_TOF_WASHL,"Total official flows for water supply and sanitation, by recipient",Series,6.a.1,TRUE
DC_TOF_WASHP,"Total official flows for water supply and sanitation, by recipient, as a percentage of donors' sector-allocable total official flows",Series,6.a.1,FALSE
ER_H2O_PROCED,Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water management,Series,6.b.1,FALSE
ER_SAN_PROCED,Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in sanitation management,Series,6.b.1,FALSE
ER_HYG_PROCED,Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in hygiene promotion,Series,6.b.1,FALSE
ER_H2O_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water management,Series,6.b.1,FALSE
ER_SAN_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in sanitation management,Series,6.b.1,FALSE
ER_HYG_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in hygiene promotion,Series,6.b.1,FALSE
EG_ELC_ACCS,Proportion of population with access to electricity,Series,7.1.1,TRUE
EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology,Series,7.1.2,TRUE
EG_FEC_RNEW,Renewable energy share in the total final energy consumption,Series,7.2.1,TRUE
EG_EGY_PRIM,Energy intensity level of primary energy,Series,7.3.1,TRUE
SL_EMP_PCAP,Growth rate of real GDP per employed person,Series,8.2.1,TRUE
EN_MAT_FTPRTN,Material footprint,Series,8.4.1,TRUE
EN_MAT_FTPRPC,Material footprint per capita,Series,8.4.1,TRUE
EN_MAT_FTPRPG,Material footprint per unit of GDP,Series,8.4.1,TRUE
EN_MAT_DOMCMPT,Domestic material consumption,Series,8.4.2,TRUE
EN_MAT_DOMCMPC,Domestic material consumption per capita,Series,8.4.2,TRUE
EN_MAT_DOMCMPG,Domestic material consumption per unit of GDP,Series,8.4.2,TRUE
SL_TLF_UEM,Unemployment rate,Series,8.5.2,TRUE
SL_TLF_NEET,"Proportion of youth not in education, employment or training",Series,8.6.1,TRUE
SL_TLF_CHDLBR,Proportion of children aged 5-17 years engaged in labour,Series,8.7.1,TRUE
SL_TLF_CHDHAZ,Proportion of children aged 5-17 years engaged in hazardous work,Series,8.7.1,FALSE
SL_TLF_CHD,Proportion of children aged 5-17 years in employment,Series,8.7.1,FALSE
SL_TLF_CHDLBRN,Number of children aged 5-17 years engaged in labour,Series,8.7.1,TRUE
SL_TLF_CHDHAZN,Number of children aged 5-17 years engaged in hazardous work,Series,8.7.1,FALSE
SL_TLF_CHDN,Number of children aged 5-17 years in employment,Series,8.7.1,FALSE
NY_GDP_PCAP,Growth rate of real GDP per capita,Series,8.1.1,TRUE
FB_BNK_ACCSS,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Series,8.10.2,TRUE
DC_TOF_TRDDBML,"Total official flows disbursed for Aid for Trade, by recipient",Series,8.a.1,TRUE
DC_TOF_TRDDBMDL,"Total official flows disbursed for Aid for Trade, by donor",Series,8.a.1,TRUE
DC_TOF_TRDDBMP,"Total official flows disbursed for Aid for Trade, by recipient, as a percentage of donors' sector-allocable total official flows",Series,8.a.1,FALSE
DC_TOF_TRDCML,"Total official flows commitments for Aid for Trade, by recipient",Series,8.a.1,TRUE
DC_TOF_TRDCMDL,"Total official flows commitments for Aid for Trade, by donor",Series,8.a.1,TRUE
DC_TOF_TRDCMP,"Total official flows commitments for Aid for Trade, by recipient, as a percentage of donors' sector-allocable total official flows",Series,8.a.1,FALSE
IS_TRP_PSSGR,"Passenger volume, by air transport",Series,9.1.2,TRUE
IS_TRP_FRGHT,"Freight volume, by air transport",Series,9.1.2,TRUE
NV_IND_MANF,Manufacturing value added share in GDP at constant 2010 United States dollars,Series,9.2.1,TRUE
NV_IND_MANFPC,Manufacturing value added per capita at constant 2010 United States dollars,Series,9.2.1,TRUE
SL_TLF_MANF,Manufacturing employment as a proportion of total employment,Series,9.2.2,TRUE
EN_ATM_CO2GDP,Emissions of carbon dioxide per unit of GDP (PPP),Series,9.4.1,FALSE
EN_ATM_CO2,Emissions of carbon dioxide,Series,9.4.1,FALSE
EN_ATM_CO2MVA,Emissions of carbon dioxide per unit of Manufacturing Value Added,Series,9.4.1,FALSE
GB_XPD_RSDV,Research and development (R&D) expenditure as a proportion of GDP,Series,9.5.1,TRUE
GB_POP_SCIERD,Researchers (in full-time equivalent) per million inhabitants,Series,9.5.2,TRUE
DC_TOF_INFRAL,"Total official flows for infrastructure, by recipient",Series,9.a.1,TRUE
DC_TOF_INFRAP,"Total official flows for infrastructure, by recipient, as a percentage of donors' sector-allocable total official flows",Series,9.a.1,FALSE
NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added,Series,9.b.1,TRUE
IT_MOB_NETWK,Proportion of population covered by a mobile network,Series,9.c.1,TRUE
IT_MOB_2GNTWK,Proportion of population covered by a 2G mobile network,Series,9.c.1,TRUE
IT_MOB_3GNTWK,Proportion of population covered by a 3G mobile network,Series,9.c.1,TRUE
SI_HEI_TOTL,Growth rates of household expenditure or income per capita,Series,10.1.1,TRUE
SI_HEI_BTN40,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population,Series,10.1.1,TRUE
SL_EMP_GTOTL,"Labour share of GDP, comprising wages and social protection transfers",Series,10.4.1,TRUE
SG_INT_MBRAFDB,Proportion of developing countries in the membership of the African Development Bank,Series,10.6.1,TRUE
SG_INT_MBRADB,Proportion of developing countries in the membership of the Asian Development Bank,Series,10.6.1,TRUE
SG_INT_MBRFSB,Proportion of developing countries in the membership of the African Development Bank,Series,10.6.1,TRUE
SG_INT_MBRIABD,Proportion of developing countries in the membership of the Inter-American Development Bank,Series,10.6.1,TRUE
SG_INT_MBRIBRD,Proportion of developing countries in the membership of the International Bank for Reconstruction and Development,Series,10.6.1,TRUE
SG_INT_MBRIFC,Proportion of developing countries in the membership of the International Finance Corporation,Series,10.6.1,TRUE
SG_INT_MBRIMF,Proportion of developing countries in the membership of the International Monetary Fund,Series,10.6.1,TRUE
SG_INT_MBRECOSOC,Proportion of developing countries in the membership of the UN Economic and Social Council,Series,10.6.1,TRUE
SG_INT_MBRUNGA,Proportion of developing countries in the membership of the UN General Assembly,Series,10.6.1,TRUE
SG_INT_MBRUNSC,Proportion of developing countries in the membership of the UN Security Council,Series,10.6.1,TRUE
SG_INT_MBRWTO,Proportion of developing countries in the membership of the World Trade Organisation,Series,10.6.1,TRUE
SG_INT_VRTAFDB,Proportion of voting rights of developing countries in the African Development Bank,Series,10.6.1,TRUE
SG_INT_VRTADB,Proportion of voting rights of developing countries in the Asian Development Bank,Series,10.6.1,TRUE
SG_INT_VRTFSB,Proportion of voting rights of developing countries in the African Development Bank,Series,10.6.1,TRUE
SG_INT_VRTIABD,Proportion of voting rights of developing countries in the Inter-American Development Bank,Series,10.6.1,TRUE
SG_INT_VRTIBRD,Proportion of voting rights of developing countries in the International Bank for Reconstruction and Development,Series,10.6.1,TRUE
SG_INT_VRTIFC,Proportion of voting rights of developing countries in the International Finance Corporation,Series,10.6.1,TRUE
SG_INT_VRTIMF,Proportion of voting rights of developing countries in the International Monetary Fund,Series,10.6.1,TRUE
SG_INT_VRTECOSOC,Proportion of voting rights of developing countries in the UN Economic and Social Council,Series,10.6.1,TRUE
SG_INT_VRTUNGA,Proportion of voting rights of developing countries in the UN General Assembly,Series,10.6.1,TRUE
SG_INT_VRTUNSC,Proportion of voting rights of developing countries in the UN Security Council,Series,10.6.1,TRUE
SG_INT_VRTWTO,Proportion of voting rights of developing countries in the World Trade Organisation,Series,10.6.1,TRUE
TM_TRF_ZERO,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,Series,10.a.1,TRUE
DC_TRF_TOTL,"Total assistance for development, by recipient",Series,10.b.1,TRUE
DC_TRF_TOTDL,"Total assistance for development, by donor",Series,10.b.1,TRUE
SI_RMT_COST,Remittance costs as a proportion of the amount remitted,Series,10.c.1,TRUE
EN_LND_SLUM,Proportion of urban population living in slums,Series,11.1.1,FALSE
EN_LND_SLUMN,Number of urban population living in slums,Series,11.1.1,FALSE
VC_DSR_AFFCT,"Number of persons affected by disaster per 100,000 people",Series,11.5.1,FALSE
VC_DSR_MORT,Number of deaths due to disaster,Series,11.5.1,FALSE
VC_DSR_MISS,Missing persons due to disaster,Series,11.5.1,FALSE
VC_DSR_GDPLS,Direct disaster economic loss in relation to global GDP,Series,11.5.2,FALSE
EN_ATM_PM25,Annual mean levels of fine particulate matter (PM2.5) in cities (population weighted),Series,11.6.2,TRUE
SG_DSR_NLRRS,National and local disaster risk reduction strategies,Series,11.b.2,FALSE
EN_MAT_FTPRTN,Material footprint,Series,12.2.1,TRUE
EN_MAT_FTPRPC,Material footprint per capita,Series,12.2.1,TRUE
EN_MAT_FTPRPG,Material footprint per unit of GDP,Series,12.2.1,TRUE
EN_MAT_DOMCMPT,Domestic material consumption,Series,12.2.2,TRUE
EN_MAT_DOMCMPC,Domestic material consumption per capita,Series,12.2.2,TRUE
EN_MAT_DOMCMPG,Domestic material consumption per unit of GDP,Series,12.2.2,TRUE
SG_HAZ_BASEL,Number of countries party to the Basel Convention on hazardous waste and other chemicals,Series,12.4.1,FALSE
SG_HAZ_ROTDAM,Number of countries party to the Rotterdam Convention on hazardous waste and other chemicals,Series,12.4.1,FALSE
SG_HAZ_STHOLM,Number of countries party to the Stockholm Convention on hazardous waste and other chemicals,Series,12.4.1,FALSE
SG_HAZ_ONECNV,Number of countries party to one convention on hazardous waste and other chemicals,Series,12.4.1,FALSE
SG_HAZ_TWOCNV,Number of countries party to two conventions on hazardous waste and other chemicals,Series,12.4.1,FALSE
SG_HAZ_ALLCNV,Number of countries party to all three conventions on hazardous waste and other chemicals,Series,12.4.1,FALSE
VC_DSR_AFFCT,"Number of persons affected by disaster per 100,000 people",Series,13.1.2,FALSE
VC_DSR_MORT,Number of deaths due to disaster,Series,13.1.2,FALSE
VC_DSR_MISS,Missing persons due to disaster,Series,13.1.2,FALSE
SG_DSR_NLRRS,National and local disaster risk reduction strategies,Series,13.1.1,FALSE
ER_H2O_FWTL,Proportion of fish stocks within biologically sustainable levels,Series,14.4.1,TRUE
ER_MRN_MPA,Coverage of protected areas in relation to marine areas,Series,14.5.1,TRUE
AG_LND_FRST,Forest area as a proportion of total land area,Series,15.1.1,TRUE
ER_PTD_TERR,Proportion of important sites for terrestrial biodiversity that are covered by protected areas,Series,15.1.2,TRUE
ER_PTD_FRHWTR,Proportion of important sites for freshwater biodiversity that are covered by protected areas,Series,15.1.2,TRUE
ER_PTD_MTN,Coverage by protected areas of important sites for mountain biodiversity,Series,15.4.1,TRUE
ER_RSK_LST,Red List Index,Series,15.5.1,TRUE
ER_RSK_LST_LB,Red List Index (lower bound),Series,15.5.1,TRUE
ER_RSK_LST_UB,Red List Index (upper bound),Series,15.5.1,TRUE
DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient",Series,15.a.1,TRUE
DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor",Series,15.a.1,TRUE
DC_ODA_BDVP,"Total official development assistance for biodiversity, by recipient, as a percentage of donors' sector-allocable total official flows",Series,15.a.1,FALSE
DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient",Series,15.b.1,TRUE
DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor",Series,15.b.1,TRUE
DC_ODA_BDVP,"Total official development assistance for biodiversity, by recipient, as a percentage of donors' sector-allocable total official flows",Series,15.b.1,FALSE
VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population",Series,16.1.1,TRUE
VC_IHR_PSRC_LB,"Number of victims of intentional homicide per 100,000 population (lower bound)",Series,16.1.1,TRUE
VC_IHR_PSRC_UB,"Number of victims of intentional homicide per 100,000 population (upper bound)",Series,16.1.1,TRUE
VC_IHR_PSRCN,Number of victims of intentional homicide,Series,16.1.1,FALSE
VC_IHR_PSRCN_LB,Number of victims of intentional homicide (lower bound),Series,16.1.1,FALSE
VC_IHR_PSRCN_UB,Number of victims of intentional homicide (upper bound),Series,16.1.1,FALSE
VC_VAW_PHYPYV,Proportion of children aged 1-14 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,Series,16.2.1,FALSE
VC_VAW_SXVLN,Proportion of young women and men aged 18-29 years who experienced sexual violence by age‘_18,Series,16.2.3,TRUE
VC_PRS_UNSEC,Unsentenced detainees as a proportion of overall prison population,Series,16.3.2,TRUE
IC_FRM_BRIB,Proportion of firms experiencing at least one bribe payment request,Series,16.5.2,FALSE
SG_INT_MBRAFDB,Proportion of developing countries in the membership of the African Development Bank,Series,16.8.1,TRUE
SG_INT_MBRADB,Proportion of developing countries in the membership of the Asian Development Bank,Series,16.8.1,TRUE
SG_INT_MBRFSB,Proportion of developing countries in the membership of the African Development Bank,Series,16.8.1,TRUE
SG_INT_MBRIABD,Proportion of developing countries in the membership of the Inter-American Development Bank,Series,16.8.1,TRUE
SG_INT_MBRIBRD,Proportion of developing countries in the membership of the International Bank for Reconstruction and Development,Series,16.8.1,TRUE
SG_INT_MBRIFC,Proportion of developing countries in the membership of the International Finance Corporation,Series,16.8.1,TRUE
SG_INT_MBRIMF,Proportion of developing countries in the membership of the International Monetary Fund,Series,16.8.1,TRUE
SG_INT_MBRECOSOC,Proportion of developing countries in the membership of the UN Economic and Social Council,Series,16.8.1,TRUE
SG_INT_MBRUNGA,Proportion of developing countries in the membership of the UN General Assembly,Series,16.8.1,TRUE
SG_INT_MBRUNSC,Proportion of developing countries in the membership of the UN Security Council,Series,16.8.1,TRUE
SG_INT_MBRWTO,Proportion of developing countries in the membership of the World Trade Organisation,Series,16.8.1,TRUE
SG_INT_VRTAFDB,Proportion of voting rights of developing countries in the African Development Bank,Series,16.8.1,TRUE
SG_INT_VRTADB,Proportion of voting rights of developing countries in the Asian Development Bank,Series,16.8.1,TRUE
